101	3311	5	31
115	1479	3	12.59
2051	104	3	8.71
2555	14	3	10.02
380	120	21	117.15
712	348	17	231.21
12	287	20	29.41
121	1094	5	26.92
104	702	5	7.17
262	156	3	10.11
785	149	3	18.4
1267	493	3	35.68
117	784	3	8.57
3209	119	3	22.21
716	103	26	141.14
117	844	3	9.22
1602	121	9	74.06
111	1589	6	34.1
3246	105	5	35.27
108	174	26	44.32
105	1247	3	6.5
104	5327	3	19.71
120	1458	6	40.19
103	1003	5	10.56
104	5251	3	19.71
102	1728	3	6.51
101	2540	3	9.41
103	867	6	12.76
149	118	78	317.96
2662	14	4	18.2
217	104	17	10.84
1805	14	3	7.61
105	3947	4	28.22
103	663	15	50.79
460	107	4	5.05
103	814	4	5.06
101	2286	5	20.69
125	129	14	12.56
667	14	8	16.39
1163	111	3	9.85
111	3983	4	33.7
1545	14	3	6.5
102	3403	4	19.98
101	864	19	90.82
294	108	19	58.14
1809	12	3	7.21
101	1076	10	36.55
2634	2376	5	103.63
1790	103	9	51.76
1093	101	5	10.39
111	1335	3	11.06
999	119	7	40.95
116	187	66	302.22
110	810	3	7.1
104	959	4	6.79
150	204	12	60.88
1170	101	3	4.05
676	106	4	7.45
116	117	52	14.63
105	232	14	11.58
619	2841	3	44.2
105	181	41	71.98
121	2486	5	40.26
456	12	8	8.49
1375	12	4	9.21
126	216	16	61.18
3659	107	3	19.49
2544	107	7	55.88
113	1665	3	13.33
102	634	6	7.36
103	2098	4	13.89
1641	102	4	11.11
712	102	5	6.09
105	3100	4	23.27
107	264	8	8.4
12	440	8	7.86
117	588	3	6.46
105	793	6	14.98
784	104	7	16.1
1237	14	3	4.88
105	690	31	203.84
1313	241	4	41.23
104	586	10	22.51
445	118	6	18.26
913	113	11	63.86
104	384	12	18.82
101	1327	3	4.69
426	464	5	49.16
107	651	3	4.66
850	215	4	34.88
2611	110	6	44.72
582	119	15	91.19
4151	121	4	38.88
2035	126	3	20.17
107	822	5	15.24
1195	106	3	7.68
226	12	27	32.19
108	3505	3	17.66
1335	12	3	5.24
1811	122	3	17.54
120	997	10	67.84
126	649	3	11.26
1298	234	3	28.45
1737	1368	7	125.83
101	3927	4	24.8
202	126	34	176.51
2155	121	3	18.65
120	877	11	73.52
236	103	15	9.09
9	3714	4	52.17
112	729	4	11.28
1304	12	4	8.66
1681	119	4	24.24
266	103	42	117.28
103	240	15	9.44
101	2799	5	25.69
