103	11450	3	19.23
106	808	7	9.58
102	963	11	16.54
109	5571	3	15.17
1947	123	5	25.31
104	1840	6	11.84
7925	116	3	22.7
554	803	10	114.21
671	113	28	132.08
2693	103	6	16.54
2278	12	4	6.86
115	1599	4	11.72
106	605	15	30.94
12	2571	4	7.94
102	1039	17	43.05
690	107	38	170.79
2680	102	11	46.75
1679	107	3	4.56
123	4369	4	28.1
5708	116	5	36.96
117	2641	3	11.36
981	229	3	20.19
1649	2114	10	169.58
109	1723	7	25.57
104	5586	5	24.47
101	1890	9	22.48
1225	540	3	29.52
110	930	4	5.46
116	6700	4	31.25
104	3489	5	15.99
812	106	20	67
538	195	5	27.66
104	5482	6	33.57
784	151	3	13.13
116	480	8	13.91
140	4038	3	24.43
123	1012	14	78.43
272	250	5	23.39
118	2020	8	42.46
105	430	10	5.26
4286	14	3	7.59
1784	112	3	7.12
111	147	38	18.79
139	128	28	45.03
1476	124	7	36.8
111	215	15	6.62
2445	14	8	25.35
1079	108	4	6.04
103	3717	3	6.48
139	176	8	11.96
1766	106	5	12.16
841	106	35	165.98
2700	106	5	17.04
648	695	3	26.76
122	7604	3	22.46
198	2251	4	35.07
101	609	28	56.59
160	110	194	700.03
144	215	12	37.04
556	14	10	4.46
111	1485	5	14.55
8864	106	4	30.17
108	6381	3	16.35
118	663	12	39.82
125	424	5	9.85
1680	1681	4	56.42
104	7183	3	13.04
102	1727	4	4.16
244	3665	9	120.46
1035	116	35	243.56
151	182	4	3.86
101	2464	5	9.57
1424	102	5	5.3
110	3425	3	11.52
4661	12	3	8.77
927	109	13	43.29
1136	12	9	15.6
1633	113	12	63.11
101	4516	3	7.49
2810	113	5	23.43
6764	109	3	17.94
2882	127	6	45.76
2309	12	5	10.66
1284	111	3	5.1
107	1339	10	33.18
103	320	67	151.45
5381	103	3	10
1646	107	9	32.15
5201	113	4	23.99
2184	134	8	62.54
1295	109	11	43.52
112	546	6	6.76
3763	172	3	26.82
1467	120	5	19.04
1933	111	8	36.72
192	1045	8	65.25
101	4202	3	6.83
116	5868	4	28.64
6209	120	3	20.24
559	734	5	48.86
318	12	17	4.98
103	402	35	59.4
112	219	34	56.76
1306	2131	4	56.26
1185	313	12	135.21
101	8655	3	13.97
218	696	5	33.44
107	1596	13	56.54
5770	111	3	16.16
3128	1764	11	210.98
532	8	4	16.4
103	574	41	120.79
2879	2377	5	84.97
588	141	8	41.23
966	12	10	15.34
2909	111	3	10.54
3088	12	7	26.02
101	923	33	113.82
244	1909	3	25.8
851	190	3	16.54
1103	105	6	8.43
116	1507	10	49.26
6003	14	3	11.16
431	104	114	564.83
104	2395	4	7.02
1808	14	10	28.3
10496	158	3	39.13
104	4567	3	8.62
419	1024	3	26.37
145	598	4	16.11
106	9430	3	22.62
2292	105	5	13.05
6532	1177	5	90.63
121	5430	4	28.83
118	1001	9	33.58
105	1457	18	79.52
114	2541	14	102.02
2414	420	6	75.46
102	2640	3	4.19
104	5225	3	9.42
104	3232	3	5.92
129	1137	6	30.92
12	7051	3	13.19
8141	106	4	30.17
1449	121	12	68.83
216	191	8	29.19
1664	106	31	233.84
116	117	119	21.51
2697	14	6	16.53
603	124	4	8.17
846	14	11	14
1779	14	4	4.44
123	604	8	25.2
105	280	45	79.66
103	3972	3	7
117	7109	5	45.43
123	755	3	5.7
118	1841	4	14.25
189	2448	4	35.01
112	3757	4	19.2
118	1765	3	8.79
139	545	13	75.91
2411	106	19	135.41
453	14	22	27.02
422	107	34	100.04
1495	102	5	5.73
102	784	19	40.12
12	2314	4	6.86
104	1945	4	5.53
1622	103	7	13.32
109	3187	4	16.38
102	633	30	75.23
168	647	3	13.19
101	5587	3	9.2
106	1011	33	172.45
795	107	6	7.17
2000	118	19	147.07
2505	120	3	12.21
121	838	8	27.52
118	3412	4	20.86
105	2930	3	6.7
111	2807	3	10.16
121	702	8	24.23
103	1270	14	37.88
105	2981	3	7.07
179	1051	5	34.45
205	7725	4	56.48
5686	103	3	10
2433	152	5	41.37
3124	107	4	14.43
3405	120	5	30.33
117	451	5	4.78
10732	146	3	37.61
103	5631	3	10
179	2775	7	72
118	1332	3	6.99
138	143	15	21.31
106	2659	3	7.1
5631	567	7	121.47
101	1122	35	154.77
162	186	4	5.26
104	5795	3	10.36
4334	1351	5	83.89
